trials.thisTrialN,trials.stepSize,trials.intensity,thisRow.t,notes,trial.started,Fixation.started,Fixation.stopped,grating.started,key_resp.started,grating.stopped,trial.stopped,corrans,tilt,key_resp.corr,trials.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,10.0,0.02919769985601306,,0.015582299791276455,0.02919769985601306,0.5848833997733891,0.5848833997733891,0.5848833997733891,0.8976146001368761,5.258094000164419,right,10.0,1,1,4.654491900000721,252029,001,2024-09-12_17h28.09.527,adaptive staircase-Vidhi-6-9-24,2024.1.5,None,2024-09-12 17h28.16.936133 +0530,
1,2,8.0,5.280632599722594,,5.258284999988973,5.280632599722594,5.7825342998839915,5.765833899844438,5.765833899844438,6.066014499869198,6.474456999916583,left,-8.0,1,1,0.6950852000154555,252029,001,2024-09-12_17h28.09.527,adaptive staircase-Vidhi-6-9-24,2024.1.5,None,2024-09-12 17h28.16.936133 +0530,
2,2,6.0,6.497753500007093,,6.474598200060427,6.497753500007093,7.000105899758637,7.000105899758637,7.000105899758637,7.299861100036651,7.39200699981302,right,6.0,1,1,0.382441199850291,252029,001,2024-09-12_17h28.09.527,adaptive staircase-Vidhi-6-9-24,2024.1.5,None,2024-09-12 17h28.16.936133 +0530,
3,2,4.0,7.414896599948406,,7.392147999722511,7.414896599948406,7.916133400052786,7.900211399886757,7.900211399886757,8.20006679976359,8.45880030002445,left,-4.0,1,1,0.5485724997706711,252029,001,2024-09-12_17h28.09.527,adaptive staircase-Vidhi-6-9-24,2024.1.5,None,2024-09-12 17h28.16.936133 +0530,
4,2,2.0,8.482156699988991,,8.458951999899,8.482156699988991,8.984091700054705,8.967153300065547,8.967153300065547,9.267101499717683,9.409450000151992,right,2.0,1,1,0.425636800006032,252029,001,2024-09-12_17h28.09.527,adaptive staircase-Vidhi-6-9-24,2024.1.5,None,2024-09-12 17h28.16.936133 +0530,
5,2,0.0,9.432477499824017,,9.409591000061482,9.432477499824017,9.934464000165462,9.917449499946088,9.917449499946088,10.232850200030953,10.39351119985804,right,0.0,1,1,0.4659963003359735,252029,001,2024-09-12_17h28.09.527,adaptive staircase-Vidhi-6-9-24,2024.1.5,None,2024-09-12 17h28.16.936133 +0530,
6,2,0.0,10.41605809982866,,10.393653300125152,10.41605809982866,10.95074009988457,10.95074009988457,10.95074009988457,11.25156020000577,11.425508299842477,left,-0.0,1,1,0.46091469982638955,252029,001,2024-09-12_17h28.09.527,adaptive staircase-Vidhi-6-9-24,2024.1.5,None,2024-09-12 17h28.16.936133 +0530,
7,1,0.0,11.434147299733013,,11.42567150015384,11.434147299733013,11.935397100169212,11.935397100169212,11.935397100169212,12.235031699761748,12.310877199750394,left,-0.0,0,0,0.3703565001487732,252029,001,2024-09-12_17h28.09.527,adaptive staircase-Vidhi-6-9-24,2024.1.5,None,2024-09-12 17h28.16.936133 +0530,
8,1,1.0,12.333281800150871,,12.311029099859297,12.333281800150871,12.835557700134814,12.81836499972269,12.81836499972269,13.11868409998715,14.177091099787503,right,1.0,1,1,1.3425477999262512,252029,001,2024-09-12_17h28.09.527,adaptive staircase-Vidhi-6-9-24,2024.1.5,None,2024-09-12 17h28.16.936133 +0530,
9,1,1.0,14.185138300061226,,14.17721899971366,14.185138300061226,14.686274100095034,14.686274100095034,14.686274100095034,14.985942100174725,16.940032300073653,left,-1.0,0,0,2.2448642002418637,252029,001,2024-09-12_17h28.09.527,adaptive staircase-Vidhi-6-9-24,2024.1.5,None,2024-09-12 17h28.16.936133 +0530,
